date,close,YesterdayClose,YesterdayOpenLogR,YesterdayHighLogR,YesterdayLowLogR,YesterdayVolumeLogR,YesterdayCloseLogR,MA10,MA20,MA30,DayOfWeek,DayOfMonth,MonthNumber,EMA10,EMA30,RSI,MACD,MACD_Signal,BollingerUpper,BollingerLower,Volatility_10,Volatility_20,Volatility_30,OBV,ZScore,insider_shares,insider_amount,insider_buy_flag,sentiment,num_articles,overnight_gap,abnormal_vol,volatility_5d,volatility_20d,momentum_5d,momentum_20d,skew_5d,intraday_range,sentiment_change
2023-11-27,69.06,69.2,0.0111161010083124,0.0006333942947158,0.008640311496406,0.8436640013454493,-0.0020251706617775,67.298,63.509,61.147666666666666,0,27,11,67.02812819000444,63.45429658703618,92.53075571177509,2.603386600026468,1.9665805066911624,72.65330947581455,54.36469052418545,0.0138704515841507,0.0188481859832138,0.021720985950532,560679213.0,1.2140883933733082,0.0,0.0,-1,0,0,-0.0065028901734104,0.0161483676176213,0.1239535169859293,0.2992056766576643,0.0319784817692767,0.2765249537892791,0.6865361231803827,0.0131624674196351,0.0
2023-11-28,69.38,69.06,0.0036297680505787,0.0004460142942383,0.0045826594110922,0.1763712241752848,0.0046229495797573,67.839,64.225,61.449,1,28,11,67.45574124636727,63.836600033033854,90.27459954233414,2.642744619017165,2.101813329156363,72.80916289637936,55.64083710362063,0.0139133352963797,0.0188822468616216,0.0217121338360552,564402225.0,1.201048969416524,0.0,0.0,-1,0,0,-0.000868809730669,0.4979007369871617,0.075123080582172,0.2997463763398846,0.0189455132912321,0.2600799128223754,0.6724434890692571,0.0090083597578552,0.0
2023-11-29,74.74,69.38,0.0464409611267683,0.0778716352418471,0.0383717929622273,1.086142749182263,0.0744167825157342,68.65,65.192,61.925666666666665,2,29,11,68.78015192884594,64.54004519219296,93.94155381325734,3.071042273565226,2.295659118038136,73.94594792139651,56.43805207860348,0.0241906058977653,0.0238144952084061,0.0253979971643036,575432853.0,2.181415764803135,0.0,0.0,-1,0,0,0.0417987892764486,3.5976588682770503,0.5235521704566661,0.3780433915198918,0.0955731457050717,0.3490974729241876,2.1279621671938886,0.0476317902060476,0.0
2023-11-30,75.84,74.74,0.033601746546768,0.0094034200617691,0.0367517022731112,-0.3397109997229736,0.0146104338894286,69.593,66.1365,62.522000000000006,3,30,11,70.06376066905577,65.26907453463213,95.07323568575237,3.459354769025211,2.528398248235551,75.2163545664214,57.0566454335786,0.0236043646373298,0.0236281706461525,0.0237028872428862,583286396.0,2.1373690358180264,0.0,0.0,-1,0,0,0.0001337971635002,1.7736510885552408,0.5084117685215642,0.375085580790696,0.1079620160701242,0.3316944688323091,2.0148252977427177,0.0209651898734177,0.0
2023-12-01,74.87,75.84,0.0113070709146913,0.0009223269643896,0.0076453997246838,-0.4096602224219156,-0.0128725817041724,70.477,66.94399999999999,63.164,4,1,12,70.93762236559108,65.8884890807849,88.39891451831754,3.6467864418896023,2.7520758869663613,76.11875116541928,57.76924883458069,0.0243417372273993,0.0240583286649937,0.0221972905317839,578072619.0,1.7277852787711634,0.0,0.0,-1,0,0,-0.0031645569620254,0.5797204401715114,0.5632742285531803,0.3819141276445807,0.0819364161849711,0.2750340599455041,1.8022843182021588,0.0145585681848537,0.0
2023-12-04,75.22,74.87,-0.0341752618183507,0.0026305420929787,-0.0243452651191757,-0.0484492506651286,0.0046638767995964,71.30699999999999,67.6505,63.841,0,4,12,71.71623648093815,66.49052204331491,88.34355828220862,3.779996026704836,2.957659914914057,77.0992681736824,58.201731826317584,0.024477288754176,0.0231901521995123,0.0218066434994553,583039814.0,1.6022194345043372,0.0,0.0,-1,0,0,-0.0241752370776012,0.4445650276689598,0.5513853319255175,0.368132253513883,0.0891977990153489,0.2312980847929284,1.7743429725791209,0.0410795001329432,0.0
2023-12-05,75.44,75.22,0.0243386811091464,-0.0035528690573683,0.0193891234358409,-0.5375512852172233,0.0029204852830116,72.042,68.4535,64.51466666666667,1,5,12,72.39328439349484,67.06790771793976,86.01798855273921,3.858835490287092,3.1378950299886634,77.66967862354271,59.2373213764573,0.0245490126926158,0.0214392048560104,0.0218357541361053,585941535.0,1.5161381490920751,0.0,0.0,-1,0,0,-0.004785961180537,-0.4277852221452032,0.5540632393141174,0.3403368261358322,0.0873450562121649,0.2704614348265408,1.7879576541814683,0.0184252386002121,0.0
2023-12-06,74.73,75.44,0.0157713162290189,0.0030930234260101,0.0029498546464211,0.0629890806924631,-0.0094560203830032,72.69300000000001,69.07300000000001,65.13166666666667,2,6,12,72.81814177649578,67.56223625226623,82.70440251572333,3.819990790925175,3.2743141821759663,78.22434985728984,59.92165014271018,0.025243621196437,0.0200175417855886,0.0220915994542993,582851158.0,1.2363203436034549,0.0,0.0,-1,0,0,0.008085896076352,-0.2901971039236816,0.1773362694590018,0.3177686245410682,-0.0001337971635,0.1987487969201156,0.1059922008707881,0.0188010169945135,0.0
2023-12-07,75.49,74.73,-0.0157713162290189,-0.0041481540963082,0.002139896496662,-0.520053682315114,0.0101185792093345,73.397,69.727,65.81866666666667,3,7,12,73.30393418076926,68.07370488115228,86.10687022900767,3.80665103169946,3.380781552080665,78.74192586886018,60.71207413113983,0.0251536815110072,0.0199253099255594,0.0211610917210986,584688352.0,1.2785462873093272,0.0,0.0,-1,0,0,0.0017395958784958,-0.7967112390863844,0.1551461097098546,0.3163044891535034,-0.0046149789029537,0.2095817977888159,-0.3246584016925843,0.0123195125182144,0.0
2023-12-08,76.95,75.49,0.0039994720689815,0.016100877960704,0.0041330636796272,0.5799103702785882,0.0191556631333549,74.172,70.45949999999999,66.56466666666667,4,8,12,73.9668552388112,68.64636908236827,86.68617410387714,3.869286251318073,3.4784824919281467,79.31277765650377,61.60622234349621,0.0253241382516162,0.0198426565292946,0.0209784208552976,587969357.0,1.4662366305053078,0.0,0.0,-1,0,0,-0.0043714399258179,-0.1804262383626524,0.1670634563418508,0.3149924071643146,0.0277814879123814,0.2351524879614768,-0.2262556549614656,0.0240415854450943,0.0
