date,open,high,low,close,volume
2024-11-14,16.92,19.503,16.92,18.49,1862603.0
2024-11-15,18.58,19.12,18.0344,18.61,929811.0
2024-11-18,18.66,19.47,17.21,18.38,1216193.0
2024-11-19,18.08,19.09,18.04,18.46,704831.0
2024-11-20,18.39,19.39,18.22,18.92,818956.0
2024-11-21,18.76,20.03,17.02,17.79,2198775.0
2024-11-22,17.94,18.8799,17.5133,18.62,1004452.0
2024-11-25,18.9,19.515,18.35,18.82,1451644.0
2024-11-26,19.07,20.2099,18.56,19.06,1219997.0
2024-11-27,19.09,20.1,18.668,19.04,1269709.0
2024-11-29,19.13,19.61,18.82,19.01,571850.0
2024-12-02,19.16,20.14,18.53,19.64,1398718.0
2024-12-03,19.44,20.75,16.07,16.51,3659816.0
2024-12-04,16.35,16.78,12.51,12.72,5303432.0
2024-12-05,14.8,15.8,13.54,14.53,3272571.0
2024-12-06,14.51,15.56,14.51,14.86,1370668.0
2024-12-09,15.0,15.48,14.67,15.08,1078449.0
2024-12-10,15.08,15.47,14.65,14.87,861866.0
2024-12-11,14.85,15.21,14.15,14.24,819270.0
2024-12-12,14.2,14.75,14.16,14.34,785083.0
2024-12-13,14.23,14.63,13.19,13.26,1280997.0
2024-12-16,13.0,14.4972,13.0,13.88,1231437.0
2024-12-17,13.8,14.27,13.18,13.2,827048.0
2024-12-18,13.13,13.66,12.25,12.52,1156580.0
2024-12-19,12.69,13.06,12.3,12.9,1146602.0
2024-12-20,12.64,13.5286,12.57,13.07,5854409.0
2024-12-23,13.0,14.16,12.65,14.13,1345371.0
2024-12-24,14.15,14.295,13.61,14.01,333817.0
2024-12-26,14.0,14.24,13.52,14.08,686768.0
2024-12-27,14.14,14.61,13.6701,14.08,774464.0
2024-12-30,13.95,13.95,13.4014,13.76,774691.0
2024-12-31,13.85,13.885,13.17,13.8,612275.0
2025-01-02,14.02,14.99,13.65,14.96,1255608.0
2025-01-03,15.15,16.17,14.97,15.61,1912203.0
2025-01-06,15.74,15.8,14.97,15.0,827854.0
2025-01-07,14.91,15.0832,13.93,14.22,899415.0
2025-01-08,14.02,14.39,13.68,13.86,591791.0
2025-01-10,13.69,13.8016,12.88,13.19,696056.0
2025-01-13,12.96,12.9884,12.31,12.72,745175.0
2025-01-14,12.81,13.1393,12.47,12.59,589288.0
2025-01-15,13.07,13.51,12.52,13.47,850785.0
2025-01-16,13.52,13.65,13.18,13.5,590906.0
2025-01-17,13.56,13.77,13.33,13.7,688941.0
2025-01-21,14.0,14.11,13.31,14.06,968409.0
2025-01-22,14.06,15.7889,13.97,14.9,1181784.0
2025-01-23,14.62,14.86,14.21,14.53,644959.0
2025-01-24,14.6,15.15,14.47,14.8,465812.0
2025-01-27,14.34,14.98,13.91,14.27,651145.0
2025-01-28,14.46,14.46,13.62,14.23,654871.0
2025-01-29,14.11,14.38,13.85,14.27,569972.0
2025-01-30,14.33,15.43,14.33,15.2,567332.0
2025-01-31,15.25,15.62,14.81,15.04,795169.0
2025-02-03,14.39,15.22,14.3,15.18,594950.0
2025-02-04,15.18,15.4599,14.87,15.07,568430.0
2025-02-05,15.04,15.31,13.95,14.33,850676.0
2025-02-06,14.4,14.61,14.075,14.33,599517.0
2025-02-07,14.45,14.45,13.65,14.09,999708.0
2025-02-10,14.19,14.34,13.725,13.94,831206.0
2025-02-11,13.95,13.9997,13.27,13.48,1136239.0
2025-02-12,13.25,15.46,13.2,15.05,1028574.0
2025-02-13,15.15,15.78,14.68,15.55,1087432.0
2025-02-14,15.54,16.2254,15.39,15.95,1955753.0
