Date,Close,Pred_Prob_1d,Pred_Prob_Std_1d,Pred_Prob_1w,Pred_Prob_Std_1w,Pred_Prob_1m,Pred_Prob_Std_1m,Pred_Prob_6m,Pred_Prob_Std_6m
2024-08-28,128.82000732421875,0.010076257,0.005768357,0.011034621,0.005802297,0.0067558773,0.003984234,0.0035924201,0.0021992547
2024-08-29,130.05999755859375,0.0068613696,0.0034620091,0.0081194565,0.004297577,0.0047650007,0.0028427194,0.0033288158,0.0023258447
2024-08-30,130.60000610351562,0.0056525744,0.004929868,0.008126073,0.00668816,0.005981052,0.0058068116,0.00433111,0.0034701834
2024-09-03,125.25,0.0051044077,0.002884711,0.007129325,0.0048134914,0.0041707614,0.0038446276,0.0031014592,0.002560782
2024-09-04,124.30999755859376,0.004477804,0.0024602946,0.0066313148,0.004853111,0.0039924174,0.0029603124,0.0028284576,0.001793058
2024-09-05,121.44000244140624,0.007383928,0.004149486,0.008449726,0.0045890557,0.0070033353,0.0037572968,0.004023832,0.002019102
2024-09-06,120.04000091552734,0.006740598,0.002722941,0.008562761,0.0031797113,0.007506713,0.0031435457,0.004779807,0.0018945198
2024-09-09,120.36000061035156,0.013975351,0.0062692324,0.012691758,0.0042142407,0.0072004404,0.002550468,0.0044733784,0.0018351667
2024-09-10,119.16000366210938,0.015399108,0.007884946,0.012545602,0.005206566,0.007647158,0.003958802,0.003800302,0.0021511326
2024-09-11,120.5,0.012796444,0.007437319,0.011318543,0.0061310027,0.008933394,0.005033773,0.005709899,0.0040222555
2024-09-12,119.87999725341795,0.0109697115,0.004724059,0.013268827,0.005713803,0.011265044,0.005216839,0.007974362,0.0046107904
2024-09-13,123.13999938964844,0.0112997675,0.006475939,0.013741337,0.008554967,0.010596695,0.0074826134,0.007198773,0.005217716
2024-09-16,123.8000030517578,0.012143451,0.0043579475,0.0123959,0.004382374,0.007471325,0.0033011797,0.0045365905,0.002480367
2024-09-17,125.76000213623048,0.010239017,0.006738573,0.010896877,0.00567922,0.0066855466,0.0033730108,0.0041970788,0.0027539742
2024-09-18,126.37000274658205,0.011011587,0.0055081067,0.011296894,0.0059320778,0.008212216,0.0043175113,0.0047366004,0.002944682
