Date,Close,Pred_Prob_1d,Pred_Prob_Std_1d,Pred_Prob_1w,Pred_Prob_Std_1w,Pred_Prob_1m,Pred_Prob_Std_1m,Pred_Prob_6m,Pred_Prob_Std_6m
2024-08-28,6.369999885559082,0.011057284,0.005339574,0.015562661,0.0072436524,0.012176838,0.0060483217,0.0057807495,0.0034395577
2024-08-29,6.429999828338623,0.007972016,0.0053631472,0.00882592,0.0053014825,0.0055145444,0.0032083625,0.002699706,0.0016471298
2024-08-30,6.320000171661377,0.006270726,0.0051178103,0.010736819,0.008152249,0.0068904893,0.0067887465,0.0036945872,0.0030299516
2024-09-03,6.010000228881836,0.011406855,0.009496977,0.014401316,0.012505249,0.0064862645,0.0058954214,0.0025018654,0.0021750198
2024-09-04,5.869999885559082,0.0036289794,0.0020967757,0.004690281,0.0033905427,0.0029687851,0.0025172366,0.0014118288,0.001166384
2024-09-05,5.829999923706055,0.0030084336,0.0015329345,0.003367594,0.0020378681,0.0024362495,0.0016491957,0.0013037702,0.0009329097
2024-09-06,5.400000095367432,0.01460895,0.006489209,0.015524001,0.007312055,0.011529971,0.0065119797,0.0070220213,0.004487396
2024-09-09,5.730000019073486,0.05069809,0.021648994,0.027748663,0.011262371,0.01372863,0.0048615425,0.00819314,0.0037737514
2024-09-10,6.519999980926514,0.023547241,0.010785005,0.014252257,0.0076816487,0.008328028,0.0053638876,0.0040107532,0.003530575
2024-09-11,6.0,0.014146686,0.007728999,0.010471352,0.006960288,0.007166464,0.005179044,0.004533197,0.0042262813
2024-09-12,6.409999847412109,0.018977745,0.010338278,0.018344361,0.008594664,0.012072614,0.006917784,0.0075217676,0.0059556793
2024-09-13,6.440000057220459,0.05654355,0.021136185,0.032437578,0.013934668,0.015733426,0.007532963,0.0055034105,0.0033226565
2024-09-16,6.360000133514404,0.020278621,0.010880825,0.021178843,0.011252426,0.015157095,0.007949449,0.0137418965,0.007897062
2024-09-17,6.460000038146973,0.021203954,0.009945461,0.01755178,0.00784638,0.011646348,0.005435689,0.006755871,0.0036439053
2024-09-18,6.380000114440918,0.014960118,0.008092803,0.01142179,0.0054016523,0.007253273,0.0034721794,0.004572492,0.0027322904
2024-09-19,6.570000171661377,0.017012725,0.0071029477,0.018073456,0.007646728,0.011968018,0.006376571,0.0093895765,0.005046922
2024-09-20,6.349999904632568,0.021605043,0.008493035,0.02054755,0.008206726,0.01308098,0.0057735476,0.008997663,0.004317802
2024-09-23,6.170000076293945,0.043607417,0.01522669,0.04952007,0.014139067,0.033320006,0.011382303,0.029150236,0.013919572
2024-09-24,6.28000020980835,0.021635449,0.010085574,0.02062917,0.009736542,0.014354034,0.006953239,0.0097258445,0.005164211
2024-09-25,6.260000228881836,0.01256111,0.0058326996,0.012597982,0.005988317,0.009269639,0.0042411345,0.00623391,0.0032192927
2024-09-26,6.230000019073486,0.013223945,0.005506951,0.01748847,0.0067818593,0.013122153,0.004821712,0.009208438,0.0041154777
2024-09-27,5.889999866485596,0.021821663,0.01123275,0.040237136,0.018075194,0.03816713,0.019824952,0.01827099,0.009062374
2024-09-30,5.699999809265137,0.04760404,0.027402738,0.05832284,0.031774938,0.04302563,0.026872955,0.024302863,0.016413523
2024-10-01,5.559999942779541,0.019150143,0.007721431,0.018322997,0.009216014,0.0127215525,0.0071865544,0.004716486,0.0035795104
2024-10-02,5.429999828338623,0.010100471,0.005210847,0.0110430885,0.0057759266,0.00944588,0.005468304,0.003712663,0.0022624235
2024-10-03,5.340000152587891,0.011226794,0.00490136,0.012978959,0.0064597772,0.013465217,0.0083762035,0.005656057,0.0047356174
2024-10-04,5.380000114440918,0.005448641,0.0024491418,0.011125393,0.0050982027,0.01446045,0.0071549374,0.0069798827,0.0037014976
2024-10-07,5.150000095367432,0.0047887694,0.0026285988,0.007532323,0.0036656817,0.008341197,0.004545971,0.0058684885,0.0037728704
2024-10-08,5.130000114440918,0.0069376505,0.003701964,0.008367971,0.0047873333,0.008807454,0.0053972853,0.004962102,0.0028446217
2024-10-09,5.059999942779541,0.00799458,0.0041581425,0.00922127,0.005117882,0.01119058,0.005798748,0.006809494,0.003972964
