Date,Close,Pred_Prob_1d,Pred_Prob_Std_1d,Pred_Prob_1w,Pred_Prob_Std_1w,Pred_Prob_1m,Pred_Prob_Std_1m,Pred_Prob_6m,Pred_Prob_Std_6m
2000-04-24,33.69,0.1411475,0.04792681,0.0867328,0.03104664,0.06838492,0.026892658,0.025370428,0.015039443
2000-04-25,34.63,0.11278408,0.061272476,0.060584106,0.026803304,0.046072267,0.021982428,0.016356852,0.011731994
2000-04-26,33.56,0.1392456,0.07396693,0.08817513,0.037763797,0.06040749,0.020574188,0.026620463,0.014210983
2000-04-27,32.13,0.20534338,0.08904135,0.12952642,0.056567438,0.08446945,0.034147177,0.03150516,0.01762452
2000-04-28,32.25,0.18829589,0.112188965,0.10385977,0.048753906,0.055394277,0.024378022,0.017863931,0.0090506375
2000-05-01,31.5,0.16999662,0.06203211,0.07697114,0.028791672,0.030790804,0.014039005,0.010853909,0.0067110984
2000-05-02,31.63,0.075936526,0.05126813,0.03883996,0.02630775,0.021496424,0.014643117,0.0075683664,0.0057443045
2000-05-03,30.75,0.06984853,0.03407337,0.039940897,0.0169456,0.029000098,0.010285461,0.014047423,0.008020925
2000-05-04,29.88,0.053917695,0.02866417,0.036208507,0.015663993,0.02919874,0.009607862,0.01869374,0.0077361553
2000-05-05,29.75,0.030099487,0.020125614,0.029338608,0.015633153,0.029973337,0.014294468,0.021707946,0.010643664
2000-05-08,30.75,0.025647154,0.021873353,0.024274165,0.011711991,0.02419914,0.009477083,0.021795264,0.008336443
2000-05-09,30.56,0.021374827,0.014017063,0.019882618,0.010564113,0.018181425,0.0097047575,0.012989075,0.005143638
2000-05-10,29.94,0.022484148,0.009916711,0.020857403,0.008019644,0.020040685,0.008528653,0.0136468485,0.006924118
2000-05-11,30.69,0.028159602,0.016746314,0.028071027,0.013037375,0.025692675,0.011986254,0.017803218,0.006888873
2000-05-12,31.06,0.018593488,0.009209483,0.027085125,0.010020996,0.027382715,0.012628482,0.023452275,0.01356855
2000-05-15,32.13,0.017349185,0.010433444,0.02524922,0.013431437,0.021132173,0.014473348,0.016405784,0.011347492
2000-05-16,32.19,0.014685009,0.0065043042,0.019463941,0.008804483,0.013911131,0.0075351237,0.0075680385,0.0040496886
2000-05-17,31.88,0.013146135,0.008443402,0.02119772,0.012301169,0.017762601,0.011582712,0.0075106383,0.0057103443
2000-05-18,31.88,0.010811757,0.007077621,0.019353965,0.009149664,0.015465246,0.007753199,0.007890572,0.0035510168
2000-05-19,29.88,0.019688085,0.011792909,0.042813458,0.020398282,0.037513807,0.021195425,0.017941225,0.010995135
2000-05-22,29.69,0.0443068,0.018163072,0.06376913,0.029487472,0.04102272,0.01982675,0.015965225,0.007918707
2000-05-23,30.25,0.026669746,0.014122557,0.026438143,0.011340703,0.019527625,0.009592141,0.00764152,0.004005319
2000-05-24,30.94,0.016279927,0.013571996,0.01570763,0.011271631,0.0120795425,0.0066438047,0.0033245024,0.0020859798
2000-05-25,29.44,0.026529243,0.015458426,0.044647522,0.018532969,0.03998951,0.017946275,0.011528867,0.009195513
2000-05-26,29.56,0.030657087,0.016218849,0.052179843,0.022542043,0.04339027,0.020546775,0.01455066,0.0077242767
2000-05-30,29.94,0.022289779,0.011196974,0.040337414,0.016932692,0.033971354,0.01874551,0.013967576,0.007193031
2000-05-31,30.5,0.020142514,0.009496972,0.0220434,0.009957836,0.013483789,0.0075483373,0.0055984873,0.0037405547
2000-06-01,30.44,0.015178314,0.0060869255,0.019017389,0.008502954,0.012936798,0.0060245167,0.0036251512,0.0021200127
2000-06-02,32.44,0.007128779,0.0035559142,0.00997328,0.0044756066,0.005791855,0.0035930804,0.0032618777,0.002103639
2000-06-05,32.0,0.0017921593,0.0013258297,0.0026747554,0.001678599,0.0009286653,0.00072458177,0.0004645716,0.00041067024
